figurine,0.0043,0.0057,0.5508,1.4726,2.2989,3.6898,6.7218,4.4442,7.0832
pouch,0.0001,0.0001,0.7679,2.5486,6.4045,7.4632,14.8756,8.7490,14.4225
pouch,0.0002,0.0003,0.7667,2.5250,5.7079,7.1627,13.6085,8.4487,14.2605
glove,0.0122,0.0022,0.6672,1.8091,3.1379,4.2459,8.1430,5.4285,8.0447
glove,0.0131,0.0015,0.6667,1.7985,3.0519,4.1822,8.0615,5.4949,7.8763
glove,0.0035,0.0026,0.6787,1.8418,3.1373,4.1843,7.9605,5.2691,8.0376
glove,0.0129,0.0030,0.6533,1.7346,2.9278,3.8381,7.2604,4.7485,7.6113
glove,0.0031,0.0080,0.6849,1.8843,3.0629,4.1158,7.8012,5.1751,7.9286
glove,0.0132,0.0119,0.6206,1.7182,2.6554,3.7025,7.9131,5.3105,6.8834
glove,0.0136,0.0044,0.6560,1.7705,3.0179,4.0209,7.6130,4.9883,7.8131
glove,0.0020,0.0010,0.6652,1.8533,2.8635,3.9400,7.5124,5.0479,7.4738
glove,0.0012,0.0141,0.6766,1.8344,3.1184,3.9900,7.5443,4.9212,9.1070
glove,0.0060,0.0090,0.6621,1.8713,2.9926,4.4609,-8.4259,-6.0400,8.2757
glove,0.0068,0.0096,0.6537,1.8209,2.9863,4.4132,-8.1968,-5.6197,8.3602
glove,0.0178,0.0029,0.6528,1.7922,2.7921,3.9451,7.4769,5.0108,7.4523
controller,0.0047,0.0005,0.6750,2.0178,2.8368,3.8016,-7.1208,-4.8114,9.0414
controller,0.0129,0.0067,0.6836,2.0602,2.8843,3.8677,-7.2440,-4.8980,8.6912
controller,0.0081,0.0138,0.6961,2.1565,2.8688,3.8342,-7.1858,-4.9127,9.1507
controller,0.0000,0.0009,0.7042,2.0687,3.2228,4.3091,-8.0859,-5.3521,8.7305
controller,0.0101,0.0097,0.7122,2.1854,3.0516,4.0758,-7.7008,-5.2032,7.9441
controller,0.0050,0.0099,0.6944,2.0578,3.1409,4.2294,-7.9183,-5.2590,8.7936
controller,0.0006,0.0003,0.6912,2.0810,3.0739,4.1064,-7.7017,-5.1490,8.5100
shavingblade,0.0204,0.0185,0.0892,0.2175,2.3451,3.2609,-6.8839,-4.7657,6.0688
shavingblade,0.0039,0.0065,0.1486,0.3415,3.0043,4.2742,8.2590,-4.5477,7.9630
shavingblade,0.1280,0.0003,0.0842,0.2242,1.4662,1.9127,3.6048,2.0309,4.5547
shavingblade,0.0068,0.0638,0.1353,0.3339,1.5686,2.0330,3.8352,2.2026,4.9208
shavingblade,0.1233,0.0026,0.0631,0.1796,1.4606,1.9636,3.6879,2.0762,4.3069
shavingblade,0.0696,0.0105,0.0755,0.2035,1.6700,2.2613,4.2305,2.3683,5.1189
shavingblade,0.0143,0.0286,0.0695,0.1895,1.5516,2.0265,3.8403,2.1640,4.3000
shavingblade,0.0000,0.0025,0.1023,0.2498,2.2330,3.1403,6.2708,3.6138,5.8570
shavingblade,0.0027,0.0014,0.0796,0.2037,2.2584,3.3697,6.8872,3.8584,6.1924
shavingblade,0.0053,0.0092,0.0849,0.2132,2.0433,2.7045,5.1575,2.9035,5.3357
shavingblade,0.0257,0.0375,0.0664,0.1724,2.7037,2.2753,4.7881,2.4009,5.2608
shavingblade,0.1124,0.0102,0.0646,0.1822,1.5240,2.0502,3.8468,2.1578,4.5213
shavingblade,0.1087,0.0169,0.0716,0.2005,1.4010,1.8669,3.5046,1.9746,4.3833
knife,0.0824,0.0064,-0.0422,-0.0733,1.8713,1.9211,3.8174,1.8871,6.0235
knife,0.0757,0.0021,-0.0452,-0.0795,2.0359,2.0905,4.1536,2.0538,6.2757
knife,0.0415,0.0097,-0.0364,-0.0616,2.2611,2.3151,4.6031,2.2872,6.7771
knife,0.1468,0.0005,-0.0464,-0.0820,1.6230,1.6640,3.3075,1.6252,5.6503
pouch,0.0000,0.0000,0.7706,2.6101,6.4871,7.4495,14.4987,8.7545,14.6712
knife,0.1235,0.0002,-0.0406,-0.0701,1.7678,1.8104,3.5995,1.7773,5.9622
knife,0.1113,0.0025,-0.0421,-0.0731,1.7452,1.7875,3.5539,1.7529,5.9325
knife,0.1171,0.0027,-0.0371,-0.0628,1.6979,1.7405,3.4597,1.7110,5.8319
knife,0.1138,0.0047,-0.0342,-0.0568,1.6758,1.7191,3.4165,1.6926,5.7758
knife,0.1393,0.0011,-0.0353,-0.0590,1.5903,1.6328,3.2444,1.6049,5.6613
knife,0.1668,0.0000,-0.0202,-0.0281,1.5226,1.5649,3.1086,1.5524,5.5485
pen,0.1042,0.0782,-0.0688,-0.1270,1.1197,1.1591,2.2985,1.0971,4.4918
knife,0.1466,0.0001,-0.0383,-0.0653,1.5758,1.6179,3.2147,1.5875,5.5357
knife,0.1554,0.0002,-0.0299,-0.0479,1.5771,1.6187,3.2166,1.5965,5.6343
pen,0.0003,0.2012,-0.0684,-0.1266,1.3137,1.3546,2.6887,1.2927,4.8792
pen,0.0006,0.1838,-0.0726,-0.1351,1.3638,1.4066,2.7918,1.3409,4.9213
knife,0.1490,0.0002,-0.0403,-0.0692,1.5922,1.6374,3.2521,1.6050,5.5399
pen,0.0008,0.1614,-0.0475,-0.0839,1.5420,1.5931,3.1607,1.5540,5.1350
pen,0.0045,0.1789,-0.0238,-0.0351,1.3192,1.3667,2.7097,1.3514,4.7643
pen,0.0010,0.1948,-0.0182,-0.0236,1.3101,1.3609,2.6965,1.3522,4.6754
pen,0.0011,0.2549,0.0083,0.0314,1.1470,1.1944,2.3652,1.2120,4.4639
knife,0.0005,0.1644,-0.0004,0.0129,1.4942,1.5409,3.0584,1.5496,5.3452
knife,0.0007,0.1783,0.0059,0.0260,1.4220,1.4715,2.9182,1.4873,5.0974
knife,0.0010,0.1814,0.0189,0.0527,1.4258,1.4773,2.9288,1.5067,5.0812
knife,0.0996,0.0198,-0.0265,-0.0411,1.5590,1.6008,3.1807,1.5820,5.5868
shavingblade,0.0562,0.0083,0.0695,0.1909,1.6299,2.2009,4.1193,2.3011,5.0416
shavingblade,0.0460,0.0050,0.0724,0.1979,1.6114,2.1757,4.0698,2.2755,5.3424
shavingblade,0.0430,0.0037,0.0759,0.2040,1.6460,2.2228,4.1631,2.3340,4.9413
shavingblade,0.0018,0.0206,0.0742,0.1990,1.7234,2.3474,4.4006,2.4723,4.9344
shavingblade,0.0175,0.0063,0.0899,0.2327,1.7458,2.3581,4.4131,2.4789,5.3405
shavingblade,0.0335,0.0016,0.0704,0.1887,1.7162,2.2603,4.2550,2.3625,5.0165
shavingblade,0.0419,0.0072,0.0762,0.2040,1.7342,2.3738,4.4366,2.4882,5.1262
shavingblade,0.0525,0.0090,0.0837,0.2206,1.7048,2.3081,4.3185,2.4243,5.1884
shavingblade,0.0045,0.0333,0.1785,0.4173,1.9856,2.5827,4.8759,2.8039,5.5606
shavingblade,0.0633,0.0131,0.0846,0.2214,1.6993,2.2738,4.2623,2.3876,5.2919
shavingblade,0.0521,0.0066,0.0749,0.2028,1.6303,2.2034,4.1261,2.3141,4.9076
shavingblade,0.0742,0.0065,0.0693,0.1937,1.4512,1.9346,3.6291,2.0344,4.7036
figurine,0.0264,0.0136,0.5410,1.4814,2.1322,3.2907,6.0054,4.0317,6.9164
controller,0.0070,0.0026,0.6869,1.9798,3.2919,4.4826,-8.3829,-5.4929,8.9872
controller,0.0075,0.0028,0.6865,1.9813,3.2598,4.4320,-8.2802,-5.4297,9.2600
